0:719014265::cycles
0:1015087344::instructions
0:52277221::branch-instructions
0:1076227::branch-misses
1:719022011::cycles
1:1015087948::instructions
1:52277347::branch-instructions
1:1076249::branch-misses
2:719027176::cycles
2:1015088552::instructions
2:52277473::branch-instructions
2:1076252::branch-misses
3:719031081::cycles
3:1015088834::instructions
3:52277516::branch-instructions
3:1076253::branch-misses
4:719031081::cycles
4:1015088834::instructions
4:52277516::branch-instructions
4:1076253::branch-misses
5:719031081::cycles
5:1015088834::instructions
5:52277516::branch-instructions
5:1076253::branch-misses
6:719031081::cycles
6:1015088834::instructions
6:52277516::branch-instructions
6:1076253::branch-misses
7:719031081::cycles
7:1015088834::instructions
7:52277516::branch-instructions
7:1076253::branch-misses
8:719031081::cycles
8:1015088834::instructions
8:52277516::branch-instructions
8:1076253::branch-misses
9:719031081::cycles
9:1015088834::instructions
9:52277516::branch-instructions
9:1076253::branch-misses
10:719030716::cycles
10:1015088789::instructions
10:52277504::branch-instructions
10:1076252::branch-misses
11:719031081::cycles
11:1015088834::instructions
11:52277516::branch-instructions
11:1076253::branch-misses
