0:747697468::cycles
0:1071186713::instructions
0:56642977::branch-instructions
0:1078438::branch-misses
1:747704469::cycles
1:1071187362::instructions
1:56643115::branch-instructions
1:1078460::branch-misses
2:747709323::cycles
2:1071187966::instructions
2:56643241::branch-instructions
2:1078463::branch-misses
3:747715176::cycles
3:1071188570::instructions
3:56643367::branch-instructions
3:1078464::branch-misses
4:747720433::cycles
4:1071189174::instructions
4:56643493::branch-instructions
4:1078466::branch-misses
5:747725809::cycles
5:1071189778::instructions
5:56643619::branch-instructions
5:1078467::branch-misses
6:747730439::cycles
6:1071190382::instructions
6:56643745::branch-instructions
6:1078468::branch-misses
7:747735175::cycles
7:1071190986::instructions
7:56643871::branch-instructions
7:1078469::branch-misses
8:747741265::cycles
8:1071191590::instructions
8:56643997::branch-instructions
8:1078470::branch-misses
9:747744480::cycles
9:1071191872::instructions
9:56644040::branch-instructions
9:1078471::branch-misses
10:747744480::cycles
10:1071191872::instructions
10:56644040::branch-instructions
10:1078471::branch-misses
11:747744480::cycles
11:1071191872::instructions
11:56644040::branch-instructions
11:1078471::branch-misses
