0:583829587::cycles
0:825539434::instructions
0:23240706::branch-instructions
0:262623::branch-misses
1:583837125::cycles
1:825539993::instructions
1:23240820::branch-instructions
1:262638::branch-misses
2:583845225::cycles
2:825540642::instructions
2:23240958::branch-instructions
2:262641::branch-misses
3:583850150::cycles
3:825540924::instructions
3:23241001::branch-instructions
3:262642::branch-misses
4:583850150::cycles
4:825540924::instructions
4:23241001::branch-instructions
4:262642::branch-misses
5:583850150::cycles
5:825540924::instructions
5:23241001::branch-instructions
5:262642::branch-misses
6:583850150::cycles
6:825540924::instructions
6:23241001::branch-instructions
6:262642::branch-misses
7:583850150::cycles
7:825540924::instructions
7:23241001::branch-instructions
7:262642::branch-misses
8:583850150::cycles
8:825540924::instructions
8:23241001::branch-instructions
8:262642::branch-misses
9:583850150::cycles
9:825540924::instructions
9:23241001::branch-instructions
9:262642::branch-misses
10:583850150::cycles
10:825540924::instructions
10:23241001::branch-instructions
10:262642::branch-misses
11:583850150::cycles
11:825540924::instructions
11:23241001::branch-instructions
11:262642::branch-misses
