0:930550708::cycles
0:1224750237::instructions
0:81776067::branch-instructions
0:1575224::branch-misses
1:930557124::cycles
1:1224750886::instructions
1:81776205::branch-instructions
1:1575246::branch-misses
2:930561817::cycles
2:1224751490::instructions
2:81776331::branch-instructions
2:1575249::branch-misses
3:930567012::cycles
3:1224752094::instructions
3:81776457::branch-instructions
3:1575251::branch-misses
4:930572419::cycles
4:1224752698::instructions
4:81776583::branch-instructions
4:1575252::branch-misses
5:930578321::cycles
5:1224753302::instructions
5:81776709::branch-instructions
5:1575253::branch-misses
6:930584738::cycles
6:1224753906::instructions
6:81776835::branch-instructions
6:1575254::branch-misses
7:930589450::cycles
7:1224754510::instructions
7:81776961::branch-instructions
7:1575255::branch-misses
8:930594388::cycles
8:1224755114::instructions
8:81777087::branch-instructions
8:1575256::branch-misses
9:930599952::cycles
9:1224755718::instructions
9:81777213::branch-instructions
9:1575257::branch-misses
10:930603206::cycles
10:1224756000::instructions
10:81777256::branch-instructions
10:1575258::branch-misses
11:930603206::cycles
11:1224756000::instructions
11:81777256::branch-instructions
11:1575258::branch-misses
