0:24330756::cycles
0:39376368::instructions
0:8954784::fp_arith_inst_retired.128b_packed_double
0:6018000::fp_arith_inst_retired.256b_packed_double
0:18054000::fp_arith_inst_retired.512b_packed_double
0:144432::fp_arith_inst_retired.scalar_double
1:15543371::cycles
1:26322089::instructions
1:5969856::fp_arith_inst_retired.128b_packed_double
1:4012000::fp_arith_inst_retired.256b_packed_double
1:12036000::fp_arith_inst_retired.512b_packed_double
1:96288::fp_arith_inst_retired.scalar_double
2:15874514::cycles
2:26321244::instructions
2:5969856::fp_arith_inst_retired.128b_packed_double
2:4012000::fp_arith_inst_retired.256b_packed_double
2:12036000::fp_arith_inst_retired.512b_packed_double
2:96288::fp_arith_inst_retired.scalar_double
3:16362424::cycles
3:26323677::instructions
3:5969856::fp_arith_inst_retired.128b_packed_double
3:4012000::fp_arith_inst_retired.256b_packed_double
3:12036000::fp_arith_inst_retired.512b_packed_double
3:96288::fp_arith_inst_retired.scalar_double
4:16144438::cycles
4:26317448::instructions
4:5969856::fp_arith_inst_retired.128b_packed_double
4:4012000::fp_arith_inst_retired.256b_packed_double
4:12036000::fp_arith_inst_retired.512b_packed_double
4:96288::fp_arith_inst_retired.scalar_double
5:13053469::cycles
5:8920859::instructions
5:8024000::fp_arith_inst_retired.512b_packed_double
6:12337350::cycles
6:8917965::instructions
6:8024000::fp_arith_inst_retired.512b_packed_double
7:12997955::cycles
7:8925211::instructions
7:8024000::fp_arith_inst_retired.512b_packed_double
8:11703409::cycles
8:8926116::instructions
8:8024000::fp_arith_inst_retired.512b_packed_double
9:11718041::cycles
9:8925154::instructions
9:8024000::fp_arith_inst_retired.512b_packed_double
10:12557068::cycles
10:8921665::instructions
10:8024000::fp_arith_inst_retired.512b_packed_double
11:11677123::cycles
11:8924458::instructions
11:8024000::fp_arith_inst_retired.512b_packed_double
12:12327463::cycles
12:13688920::instructions
12:2984928::fp_arith_inst_retired.128b_packed_double
12:2006000::fp_arith_inst_retired.256b_packed_double
12:6018000::fp_arith_inst_retired.512b_packed_double
12:48144::fp_arith_inst_retired.scalar_double
13:12224716::cycles
13:13685691::instructions
13:2984928::fp_arith_inst_retired.128b_packed_double
13:2006000::fp_arith_inst_retired.256b_packed_double
13:6018000::fp_arith_inst_retired.512b_packed_double
13:48144::fp_arith_inst_retired.scalar_double
14:12104880::cycles
14:13675317::instructions
14:2984928::fp_arith_inst_retired.128b_packed_double
14:2006000::fp_arith_inst_retired.256b_packed_double
14:6018000::fp_arith_inst_retired.512b_packed_double
14:48144::fp_arith_inst_retired.scalar_double
15:48799912::cycles
15:96247888::instructions
15:21922124::fp_arith_inst_retired.128b_packed_double
15:14732598::fp_arith_inst_retired.256b_packed_double
15:44205202::fp_arith_inst_retired.512b_packed_double
15:351274::fp_arith_inst_retired.scalar_double
16:2107277::cycles
16:4564117::instructions
16:1061724::fp_arith_inst_retired.128b_packed_double
16:713790::fp_arith_inst_retired.256b_packed_double
16:2133962::fp_arith_inst_retired.512b_packed_double
16:17922::fp_arith_inst_retired.scalar_double
19:13867229::cycles
19:9021685::instructions
19:8024000::fp_arith_inst_retired.512b_packed_double
19:2::fp_arith_inst_retired.scalar_double
20:5344545::cycles
20:8027324::instructions
20:1810740::fp_arith_inst_retired.128b_packed_double
20:1216842::fp_arith_inst_retired.256b_packed_double
20:3650526::fp_arith_inst_retired.512b_packed_double
20:29046::fp_arith_inst_retired.scalar_double
24:13039423::cycles
24:22033333::instructions
24:5054692::fp_arith_inst_retired.128b_packed_double
24:3396770::fp_arith_inst_retired.256b_packed_double
24:10190310::fp_arith_inst_retired.512b_packed_double
24:83198::fp_arith_inst_retired.scalar_double
